Title,Category,Summary,Image Link,Article Link
CBC Local News,N/A,N/A,/a/images/nojsimg.gif,https://www.cbc.ca/news/local
Live,N/A,N/A,/a/images/nojsimg.gif,https://www.cbc.ca/player/news/live
She could have died from meningitis. Now this student wants more people to get vaccinated,Canada,"When varsity athlete Megan Plamendon got a headache last November, she thought she'd pushed herself too hard on a 17-kilometre run. But the student at Queen's University had meningitis — one of three cases that prompted Kingston health officials to warn of an increase in invasive meningococcal disease type B activity in the region.",/a/images/nojsimg.gif,https://www.cbc.ca/news/canada/meningitis-vaccine-students-1.7138517
Ontario has to pay public sector workers $6B and counting in Bill 124 compensation,Toronto,Ontario is so far on the hook for more than $6 billion in payments to broader public sector workers as a result of the provincial government's wage restraint legislation being found unconstitutional.,/a/images/nojsimg.gif,https://www.cbc.ca/news/canada/toronto/bill124-compensation-ford-government-1.7144793
"Canada's GED high school equivalency test ends after March, leaving adult students in limbo",Hamilton,"The company behind the GED test is ending service in Canada this year and there's no alternative right now, which means adults wanting the equivalent of a high school diploma or to advance their education will face barriers.",/a/images/nojsimg.gif,https://www.cbc.ca/news/canada/hamilton/ged-test-ending-1.7142821
The world is sending soldiers back to Haiti — this time without Canada's help,Politics·Analysis,Canadians have been asking CBC News how — and why — this country is involved in the international response to the current state of anarchy and widespread gang violence in Haiti. The answers are complicated — because Canada's involvement is much more limited than it might appear.,/a/images/nojsimg.gif,https://www.cbc.ca/news/politics/haiti-canada-trudeau-rae-gang-violence-1.7145349
"French Girl is a sharp, witty Canadian rom-com that begs for a sequel",Entertainment·REVIEW,"Where many modern romantic comedies falter is a laser-focus on the romance and a weak commitment to the comedy — French Girl, a Canadian indie out this weekend, does not have that problem.",/a/images/nojsimg.gif,https://www.cbc.ca/news/entertainment/french-girl-canadian-rom-com-1.7143980
Stephen's story: 'He might be here today if he would have had a safer supply',Calgary·A Toxic Year,"He died alone in his apartment after consuming methamphetamine contaminated with fentanyl, one of 1,706 Albertans known to have died of opioid poisoning in 2023, the deadliest year on record for the province.",/a/images/nojsimg.gif,https://www.cbc.ca/news/canada/calgary/toxic-year-alberta-stephen-story-1.7089356
Man killed after 30-hour armed standoff with Calgary police,Calgary·Updated,One man is dead after an armed standoff that started on Thursday in southeast Calgary came to an end.,/a/images/nojsimg.gif,https://www.cbc.ca/news/canada/calgary/calgary-police-memorial-drive-closed-situation-1.7144799
The Kate photo scandal has tested the public's trust. How do the Royals get it back?,World·Analysis,"After what's become known in some quarters at the ""Kate Middleton photo scandal,"" questions loom over what this latest episode might mean more broadly for the Royal Family as it tries to find ways to bolster its relevance for the future.",/a/images/nojsimg.gif,https://www.cbc.ca/news/world/princess-of-wales-rumours-recovery-royal-family-public-trust-1.7144240
Meet the newest sports power couple: Japan's Shohei Ohtani and Mamiko Tanaka,World,"Baseball sensation Shohei Ohtani — perhaps best known for jilting Toronto Blue Jays fans last year when he agreed to a record $700 million US, 10-year contract with the Los Angeles Dodgers — revealed yesterday that he's married to none other than former professional basketball player Mamiko Tanaka.",/a/images/nojsimg.gif,https://www.cbc.ca/news/world/shohei-ohtani-mamiko-tanaka-1.7144812
Wayne Gretzky to deliver eulogy at Brian Mulroney's state funeral in Montreal,Politics,"Wayne Gretzky will be among the high-profile figures to eulogize former prime minister Brian Mulroney at his state funeral on March 23, government officials announced Friday.",/a/images/nojsimg.gif,https://www.cbc.ca/news/politics/gretsky-funeral-montreal-euology-1.7145088
Hairless raccoon found in Cape Breton puzzles wildlife rescuers,Nova Scotia·Video,"A hairless raccoon is now spending its time at the Hope For Wildlife rehabilitation centre in Seaforth, N.S., after it was discovered eating cat food in a Cape Breton backyard.",/a/images/nojsimg.gif,https://www.cbc.ca/news/canada/nova-scotia/hairless-raccoon-cape-breton-hope-for-wildlife-1.7144014
"Woman killed, 2 arrested near UBC campus lands",British Columbia,Police say two people have been arrested after a woman was killed at a home near the edge of the University of British Columbia campus.,/a/images/nojsimg.gif,https://www.cbc.ca/news/canada/british-columbia/ubc-homicide-arrests-1.7144381
"Okanagan couple faces fines, legal action over tiny home",British Columbia,"A Peachland, B.C., couple is facing the threat of a $1,000 fine and legal action if they do not remove their custom-built tiny home from their rural property by the end of April.",/a/images/nojsimg.gif,https://www.cbc.ca/news/canada/british-columbia/peachland-tiny-home-rdco-housing-crisis-homelessness-rvs-1.7144280
Corrections and clarifications,News,"As part of a commitment to transparency, CBC News is publicly tracking significant corrections and clarifications to our reports.",/a/images/nojsimg.gif,https://www.cbc.ca/news/corrections-clarifications-1.5893564
Public Appearances,News,Public Appearances,/a/images/nojsimg.gif,https://www.cbc.ca/news/public-appearances-1.4969965
